"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","MSN-04 Sazabi","Bandai Spirits","5061605","MSN-04 Sazabi","Static model kits","USD 52.25","2024-02-23","Newtype.us","","","","","https://www.scalemates.com/kits/--1355373"
"1:100","MSN-06S-2 Sinanju Stein (Narrative Ver.) Ver.Ka","Bandai Spirits","5066694","MSN-06S Sinanju","Static model kits","USD 62.25","2024-11-25","Newtype.us","","","","","https://www.scalemates.com/kits/--1519494"
"1:144","Sinanju","Bandai","0207590","MSN-06S Sinanju","Static model kits","USD 45","2026-02-07","eBay","","","","","https://www.scalemates.com/kits/--1016048"
"1:144","MSZ-006-3 Zeta Gundam","Bandai","0181531","MSZ-006 Zeta gundam","Static model kits","USD 43","2025-11-06","eBay","","","","","https://www.scalemates.com/kits/--1412870"
"1:144","Zeta Gundam","Bandai Spirits","5061599","MSZ-006 Zeta gundam","Static model kits","USD 43","2025-11-06","eBay","","","","","https://www.scalemates.com/kits/--1355629"
"1:144","Zeta Gundam III","Bandai","0223966","MSZ-006 Zeta gundam","Static model kits","USD 25","2024-11-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1131836"
"1:100","Shin Musha Gundam","Bandai Spirits","5062840","Musha gundam","Static model kits","USD 52","2024-05-09","Newtype.us","","","","","https://www.scalemates.com/kits/--1427726"
"No","Evangelion Production Model-02","Bandai Spirits","5060426","Neon Genesis Evangelion","Static model kits","USD 46.8","2026-05-10","eBay","","","","","https://www.scalemates.com/kits/--1306498"
"No","Evangelion Unit-00","Bandai Spirits","5060257","Neon Genesis Evangelion","Static model kits","USD 60.95","2026-05-10","eBay","","","","","https://www.scalemates.com/kits/--1291821"
"No","Evangelion Unit-01","Bandai Spirits","5058925","Neon Genesis Evangelion","Static model kits","USD 71.66","2026-05-10","eBay","","","","","https://www.scalemates.com/kits/--1273703"
"1:144","ORB-01 Akatsuki Gundam Oowashi unit","Bandai Spirits","5067396","ORB-01 Akatsuki gundam","Static model kits","USD 78","2026-02-24","Amazon","","","","","https://www.scalemates.com/kits/--1559598"
"1:144","OZ-00MS Tallgeese EW","Bandai Spirits","5063085","OZ-00MS Tallgeese","Static model kits","USD 39.76","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1420866"
"1:144","OZ-06MS Leo (Flight Unit Type)","Bandai Spirits","5055623","OZ-06MS Leo","Static model kits","USD 19","2024-12-12","P-Bandai","","","","","https://www.scalemates.com/kits/--1242198"
"1:144","OZ-06MS Leo (Space Type)","Bandai Spirits","5055374","OZ-06MS Leo","Static model kits","USD 16","2024-12-12","P-Bandai","","","","","https://www.scalemates.com/kits/--1242631"
"1:144","OZ-13MS Gundam Epyon","Bandai Spirits","5065442","OZ-13MS gundam Epyon","Static model kits","USD 54","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1505798"
"1:100","RB-79 Mobile Pod Ball Ver.Ka","Bandai Spirits","5063542","RB-79 Ball","Static model kits","USD 24.99","2024-05-09","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1417311"
"1:100","RB-79PP Polypodball","Bandai","0229976","RB-79 Ball","Static model kits","USD 36","2025-03-03","P-Bandai","","","","","https://www.scalemates.com/kits/--1171459"
"1:144","RGM-79(G) GM Ground Type","Bandai Spirits","5055757","RGM-79 GM","Static model kits","USD 19.99","2024-05-09","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1305940"
"1:144","RGM-79(G) GM Sniper","Bandai","0218502","RGM-79 GM","Static model kits","USD 17","2025-02-05","P-Bandai","","","","","https://www.scalemates.com/kits/--1132715"
"1:144","RGM-79S GM Spartan","Bandai Spirits","5064906","RGM-79 GM","Static model kits","USD 32","2025-08-11","P-Bandai","","","","","https://www.scalemates.com/kits/--1439693"
"1:144","RGM-79 GM (Shoulder Cannon / Missile Pod)","Bandai Spirits","5065714","RGM-79 GM (The Origin Ver.)","Static model kits","USD 35.95","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1508550"
"No","Draken E","Bandai Spirits","5067196","RH-35 Draken","Static model kits","USD 25","2024-11-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1605136"
"1:144","Full Armor Unicorn Gundam","Bandai Spirits","5055586","RX-0 Unicorn","Static model kits","USD 63.99","2025-11-28","GundamPlace","","","","","https://www.scalemates.com/kits/--1187551"
"1:144","RX-0 Unicorn Gundam 03 Phenex (Narrative Ver.)","Bandai Spirits","5059130","RX-0 Unicorn","Static model kits","USD 200","2026-01-24","eBay","","","","","https://www.scalemates.com/kits/--1305287"
"1:144","Unicorn Gundam 02 Banshee Norn","Bandai Spirits","5061621","RX-0 Unicorn","Static model kits","USD 52.95","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1355458"
