"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","MSM-03C HY-Gogg","Bandai Spirits","5055876","MSM-03C Hygogg","Static model kits","USD 15","2024-05-09","Newtype.us","","","","","https://www.scalemates.com/kits/--1305332"
"1:144","MSM-04 Acguy","Bandai Spirits","5059569","MSM-04 Acguy","Static model kits","USD 11.9","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1305345"
"1:144","MSM-07 ""Z'Gok""","Bandai Spirits","5056829","MSM-07 Z'Gok","Static model kits","USD 7.99","2024-08-09","Amazon","","","","","https://www.scalemates.com/kits/--1305355"
"1:144","MSM-07S Z'Gok","Bandai Spirits","5061601","MSM-07 Z'Gok","Static model kits","USD 21.7","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1355183"
"No","MSN-04 Sazabi","Bandai Spirits","5058280","MSN-04 Sazabi","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1312120"
"1:100","MSZ-006 Zeta Gundam Ver.Ka","Bandai Spirits","5064015","MSZ-006 Zeta gundam","Static model kits","USD 53.99","2024-08-24","Hobby Lobby","","","","","https://www.scalemates.com/kits/--1445121"
"1:100","MSZ-010 ZZ Gundam Ver.Ka","Bandai Spirits","5063151","MSZ-010","Static model kits","USD 84.99","2025-01-08","Hobby Lobby","","","","","https://www.scalemates.com/kits/--1420354"
"1:144","NZ-666 Kshatriya","Bandai Spirits","5058263","NZ-666 Kshatriya","Static model kits","USD 32.99","2024-10-19","Hobby Lobby","","","","","https://www.scalemates.com/kits/--1304994"
"No","Going Merry","Bandai Spirits","5057427","One Piece","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1301721"
"No","Thousand Sunny","Bandai Spirits","5057426","One Piece","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1301718"
"1:144","OZ-06MS Leo","Bandai","5059170","OZ-06MS Leo","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1140759"
"1:350","The Black Diamond","Revell","85-1971","Pirate ship","Static snap-fit kits","USD 10","0000-00-00","Michael's","","","","","https://www.scalemates.com/kits/--171165"
"1:25","Christine","AMT","801","Plymouth Fury","Static model kits","USD 26.99","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--176916"
"1:144","RGM-79 GM","Bandai Spirits","5059248","RGM-79 GM","Static model kits","USD 6.99","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1508843"
"1:144","RGM-79SP GM Sniper II","Bandai Spirits","5059249","RGM-79 GM","Static model kits","USD 22","2024-11-01","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1305513"
"1:144","RTX-65 Guntank Early Type","Bandai","0196528","RTX-65 guntank","Static model kits","USD 31.99","2025-08-28","Walmart","","","","","https://www.scalemates.com/kits/--998835"
"1:144","Unicorn Gundam","Bandai Spirits","5061620","RX-0 Unicorn","Static model kits","USD 38.48","0000-00-00","","","","","","https://www.scalemates.com/kits/--1355216"
"1:144","Gundam Mk-II A.E.U.G.","Bandai Spirits","5061598","RX-178","Static model kits","USD 31","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1355174"
"1:144","RX-75 Guntank","Bandai Spirits","5056830","RX-75 guntank","Static model kits","USD 15.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1305936"
"1:144","RX-77-02 Guncannon [Cucuruz Doan's Island Ver.]","Bandai Spirits","5065315","RX-77 guncannon","Static model kits","USD 27.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1447035"
"1:144","RX-77-2 Guncannon","Bandai Spirits","5057402","RX-77 guncannon","Static model kits","USD 13.35","2024-03-08","Newtype.us","","","","","https://www.scalemates.com/kits/--1305932"
"No","Hello Kitty / RX-78-2 Gundam","Bandai Spirits","5058924","RX-78 gundam","Static model kits","USD 42","2025-02-01","eBay","","","","","https://www.scalemates.com/kits/--1270743"
"1:144","RX-78-2 Gundam","Bandai","0196716","RX-78 gundam","Static model kits","USD 12.04","2024-10-21","Amazon","","","","","https://www.scalemates.com/kits/--1004492"
"1:144","RX-78-2 Gundam","Bandai Spirits","5061594","RX-78 gundam","Static model kits","USD 21.7","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1355179"
"1:144","RX-78-2 Gundam (Full Weapon Set)","Bandai Spirits","5062033","RX-78 gundam","Static model kits","USD 13","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1358701"
"1:144","RX-78-2 Gundam (REVIVAL Ver.)","Bandai Spirits","5067411","RX-78 gundam","Static model kits","USD 12.99","2024-11-29","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1559599"
"1:144","Gundam FSD (with Prototype Long-Range Beam Rifle)","Bandai Spirits","5067468","RX-78 gundam (The Origin Ver.)","Static model kits","USD 29","2024-11-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1604936"
"1:144","RX-78-02 Gundam","Bandai Spirits","5058929","RX-78 gundam (The Origin Ver.)","Static model kits","USD 29.99","0000-00-00","","","","","","https://www.scalemates.com/kits/--1273651"
"1:100","RX-78-02 Gundam The Origin","Bandai","0201314","RX-78 gundam (The Origin Ver.)","Static model kits","USD 48.95","2024-02-23","Newtype.us","","","","","https://www.scalemates.com/kits/--1123487"
"No","Qiongqi Strike Freedom Gundam","Bandai Spirits","5062011","SD gundam World Heroes","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1391690"
