"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","MS-06GD Zaku High Mobility Surface type [Wald]","Bandai Spirits","5065600","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1503609"
"1:144","MS-06R-1A Zaku II High Mobility type","Bandai Spirits","5057734","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1303842"
"1:144","Zaku High Mobility Surface Type (Danan)","Bandai Spirits","5066396","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1523646"
"1:144","Zaku High Mobility Surface Type (Sangho)","Bandai Spirits","5066395","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1523644"
"1:144","MS-07B Gouf","Bandai Spirits","5058007","MS-07 Gouf","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1305441"
"1:100","MS-07B Gouf Ver.2.0","Bandai Spirits","5061585","MS-07 Gouf","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355621"
"1:100","MS-07B-3 Gouf Custom","Bandai Spirits","5061575","MS-07 Gouf","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355169"
"1:144","MS-08TX/N Efreet Nacht","Bandai Spirits","5063862","MS-08 Efreet Schneid","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1428311"
"1:144","YMS-11 Act Zaku (Kycilia's Forces)","Bandai","0221056","MS-11 Act Zaku","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123399"
"1:100","MS-14S Gelgoog Ver.2.0","Bandai Spirits","5063571","MS-14 Gelgoog","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1417049"
"1:144","Gundam G-Arcane","Bandai","0193280","MSAM-033 gundam G-Arcane","Static model kits","","","","","","","","https://www.scalemates.com/kits/--627635"
"1:144","MSJ-06II-A Tieren Ground Type","Bandai Spirits","5060639","MSJ-06 Tieren","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1304991"
"1:100","MSJ-06II-A Tieren Ground Type","Bandai Spirits","5057940","MSJ-06 Tieren","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1304992"
"1:144","MSJ-06II-E Tieren Space Type","Bandai","0152370","MSJ-06 Tieren","Static model kits","","","","","","","","https://www.scalemates.com/kits/--963271"
"1:144","MSJ-06II-ET Tieren Space Commander Type","Bandai","0154483","MSJ-06 Tieren","Static model kits","","","","","","","","https://www.scalemates.com/kits/--963269"
"1:144","MSJ-06II-SP Tieren Taozi","Bandai","0152367","MSJ-06 Tieren","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1104405"
"1:144","MSJ-06III-A Sergei's Tieren Taozi","Bandai","0158131","MSJ-06 Tieren","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1125596"
